Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
Y S Chahal,"MIN, RCB, RRO",145,37,5.29,187,21.69,Bowler
D L Chahar,"RPS, CSK",73,80,11.43,72,28.04,Bowler
R D Chahar,"RPS, MIN, KXI",69,108,7.2,65,28.65,Bowler
P V D Chameera,LSG,12,43,10.75,9,42.67,Bowler
U B T Chand,"DDV, RRO, MIN",21,300,15.0,0,,Batsman
S Chanderpaul,RCB,3,25,8.33,0,,Bowler
A  Chandila,RRO,12,4,,11,22.0,Batsman
A A  Chavan,RRO,13,12,6.0,8,40.75,Bowler
P P Chawla,"KXI, KKR, CSK, MIN",181,609,11.71,179,26.79,Bowler
B  Chipli,"RCB, DCH, DDV",23,280,18.67,0,,Batsman
S D  Chitnis,"MIN, RRO, KXI",11,99,14.14,2,30.0,Bowler
A Chopra,KKR,7,53,8.83,0,,Bowler
P Chopra,RRO,2,8,8.0,0,,Bowler
A V Choudhary,RCB,5,25,25.0,5,28.8,Batsman
D T Christian,"DCH, RCB, RPS, DDV",49,460,14.38,38,31.37,Bowler
M J Clarke,PWI,6,98,16.33,2,33.5,Batsman
P D Collingwood,DDV,8,203,40.6,5,20.2,Batsman
D P Conway,CSK,23,924,48.63,0,,Batsman
K  Cooper,RRO,25,116,12.89,33,22.94,Bowler
S S Cottrell,KXI,6,0,0.0,6,29.33,Bowler
N M Coulter-Nile,"MIN, DDV, KKR, RRO",39,82,7.45,48,22.92,Bowler
P J Cummins,"KKR, DDV",42,379,18.95,45,30.16,Bowler
S M Curran,"KXI, CSK",46,613,24.52,42,35.33,Bowler
T K Curran,"KKR, RRO, DDV",13,127,25.4,13,33.08,All Rounder
B C J Cutting,"RRO, SUN, MIN",21,238,21.64,10,42.9,Bowler
M J Dagar,SUN,3,0,,1,83.0,Batsman
C J Dala,DDV,1,0,,0,,Batsman
M K P A Dananjaya,MIN,1,4,,0,,Batsman
D B  Das,KKR,31,304,21.71,0,,Batsman
H  Das,DCH,1,2,2.0,0,,Bowler
T H David,"RCB, MIN",25,418,27.87,0,,Batsman
Y Dayal,GTI,14,0,0.0,13,35.46,Bowler
C de Grandhomme,"KKR, RCB",25,303,18.94,6,55.5,Batsman
Q de Kock,"SUN, DDV, RCB, MIN, LSG",96,2907,32.3,0,,Batsman
M de Lange,"KKR, MIN",5,1,1.0,5,33.8,Bowler
P W H de Silva,RCB,26,72,7.2,35,21.37,Bowler
