Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
H H Pandya,"MIN, GTI",123,2309,30.38,53,33.26,All Rounder
K H Pandya,"MIN, LSG",113,1514,21.94,70,33.59,Bowler
Pankaj Singh,"RRO, RCB",17,7,3.5,11,42.55,Bowler
R R Pant,DDV,98,2838,34.61,0,,Batsman
R Parag,RRO,54,600,16.22,4,70.0,Batsman
P  Parameswaran,"KTK, RCB",8,1,,9,24.89,Batsman
M B  Parmar,KKR,1,0,,0,,Batsman
W D Parnell,"PWI, DDV, RCB",33,65,6.5,35,26.77,Bowler
Parvez Rasool,"PWI, SUN, RCB",11,17,8.5,4,67.75,Bowler
A R Patel,"KXI, DDV",136,1418,20.55,112,30.54,Bowler
H V Patel,"RCB, DDV",92,236,9.83,111,24.07,Bowler
M M Patel,"RRO, MIN, GUJ",63,39,6.5,74,22.95,Bowler
N K  Patel,RRO,9,121,30.25,0,,Batsman
P A Patel,"CSK, KTK, DCH, SUN, RCB, MIN",139,2848,22.6,0,,Batsman
R V Patel,DDV,9,80,16.0,0,,Batsman
A U K Pathan,RCB,9,39,7.8,0,,Bowler
I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103,1139,21.49,80,33.11,Bowler
Y K Pathan,"RRO, KKR, SUN",174,3204,29.13,42,33.02,All Rounder
M Pathirana,CSK,14,0,,21,20.14,Batsman
R M Patidar,RCB,12,404,40.4,0,,Batsman
D T  Patil,RCB,2,13,6.5,0,,Bowler
J L Pattinson,MIN,10,15,15.0,11,29.09,Bowler
K M A Paul,DDV,8,18,3.6,9,26.33,Bowler
A G  Paunikar,RRO,5,49,9.8,0,,Bowler
R  Pawar,MIN,1,0,,0,,Batsman
M D K J Perera,RRO,2,14,7.0,0,,Bowler
N L T C Perera,"CSK, KTK, MIN, SUN, KXI, RPS",37,422,19.18,31,32.77,Bowler
R J Peterson,MIN,5,32,10.67,3,23.33,Bowler
J R Philippe,RCB,5,78,19.5,0,,Batsman
G D Phillips,"RRO, SUN",8,65,9.29,2,20.0,Bowler
K P Pietersen,"RCB, DDV, RPS",36,1001,37.07,7,30.71,Batsman
L E Plunkett,DDV,7,1,1.0,4,56.25,Bowler
K A Pollard,MIN,189,3412,28.67,69,31.26,All Rounder
S M Pollock,MIN,13,147,18.38,11,27.36,Bowler
L A Pommersbach,"KXI, RCB",17,302,27.45,0,,Batsman
R T Ponting,"KKR, MIN",10,91,10.11,0,,Bowler
N Pooran,"KXI, SUN, LSG",62,1270,27.02,0,,Batsman
A Porel,DDV,4,33,8.25,0,,Bowler
I C Porel,KXI,1,0,,1,39.0,Batsman
R R Powar,"KXI, KTK",27,67,22.33,13,40.54,Bowler
R Powell,DDV,17,257,19.77,1,35.0,Batsman
Prabhsimran Singh,KXI,20,422,21.1,0,,Batsman
S S Prabhudessai,RCB,10,102,11.33,0,,Bowler
P  Prasanth,KTK,1,0,,0,,Batsman
M Prasidh Krishna,"KKR, RRO",51,9,3.0,49,34.76,Bowler
V  Pratap Singh,DCH,9,0,0.0,10,29.6,Bowler
D Pretorius,CSK,7,44,11.0,6,39.67,Bowler
R W Price,MIN,1,0,,0,,Batsman
Y Prithvi Raj,KKR,2,0,,1,57.0,Batsman
C A Pujara,"KKR, RCB, KXI",29,390,20.53,0,,Batsman
R J Quiney,RRO,7,103,14.71,0,,Bowler
K Rabada,"DDV, KXI",69,186,11.63,106,20.74,Bowler
A M Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",172,4400,30.99,1,5.0,Batsman
Rahmanullah Gurbaz,KKR,11,227,20.64,0,,Batsman
K L Rahul,"RCB, SUN, KXI, LSG",118,4163,46.78,0,,Batsman
S K Raina,"CSK, GUJ",205,5528,32.52,25,45.8,All Rounder
P B B Rajapaksa,KXI,13,277,23.08,0,,Batsman
R R  Raje,MIN,10,20,20.0,6,34.83,Batsman
A S Rajpoot,"CSK, KKR, KXI, RRO",29,26,5.2,24,33.33,Bowler
R Rampaul,RCB,12,51,10.2,14,21.29,Bowler
H P Rana,KKR,8,2,1.0,6,33.0,Bowler
N Rana,"MIN, KKR",105,2594,28.82,10,25.2,All Rounder
S  Rana,"PWI, RCB",11,91,22.75,0,,Batsman
A U Rashid,"KXI, SUN",3,22,11.0,2,45.5,Bowler
Rashid Khan,"SUN, GTI",109,443,13.84,139,20.76,Bowler
Rasikh Salam,"MIN, KKR",3,12,12.0,0,,Bowler
M Rathee,KXI,1,1,,0,,Batsman
A S  Raut,RRO,22,194,21.56,0,,Batsman
Ravi Bishnoi,"KXI, LSG",52,28,5.6,53,27.42,Bowler
D B  Ravi Teja,"DCH, SUN",32,375,19.74,1,28.0,Batsman
M  Rawat,"RRO, PWI",18,55,11.0,0,,Bowler
A T Rayudu,"MIN, CSK",204,4348,28.23,0,,Batsman
N K Reddy,SUN,2,0,,0,,Batsman
P A  Reddy,"DCH, SUN",12,164,16.4,0,,Batsman
J A Richardson,"KXI, MIN",3,15,7.5,3,39.0,Bowler
K W Richardson,"PWI, RRO, RCB",15,36,12.0,19,24.89,Bowler
N J  Rimmington,KXI,1,1,,0,,Batsman
K A J Roach,DCH,2,10,10.0,0,,Bowler
B J Rohrer,DDV,8,193,32.17,0,,Batsman
L Ronchi,MIN,5,34,6.8,0,,Bowler
J E Root,RRO,3,10,10.0,0,,Bowler
R R Rossouw,"RCB, DDV",14,262,21.83,0,,Batsman
A S Roy,"MIN, KKR",7,23,7.67,5,26.2,Bowler
J J Roy,"GUJ, DDV, SUN, KKR",21,614,32.32,0,,Batsman
A D Russell,"DDV, KKR",112,2262,29.0,96,24.49,All Rounder
S E Rutherford,"DDV, RCB",10,106,15.14,1,59.0,Batsman
J D Ryder,"RCB, PWI",29,604,21.57,8,37.88,Batsman
Sachin Baby,"RRO, RCB",19,144,16.0,2,4.0,Batsman
W P Saha,"KKR, CSK, KXI, SUN, GTI",161,2798,24.98,0,,Batsman
P Sahu,KXI,5,19,19.0,3,48.67,Batsman
Sai Sudharsan,GTI,13,507,46.09,0,,Batsman
N  Saini,KXI,10,140,14.0,0,,Bowler
N A Saini,"RCB, RRO",32,33,8.25,23,42.35,Bowler
C Sakariya,"RRO, DDV",19,20,3.33,20,29.95,Bowler
Salman Butt,KKR,7,193,27.57,0,,Batsman
P D Salt,DDV,9,218,27.25,0,,Batsman
D Salunkhe,RRO,6,33,16.5,1,78.0,Batsman
A M Salvi,DDV,7,0,,7,28.57,Batsman
B B Samantray,"DCH, SUN",9,125,25.0,0,,Batsman
D J G Sammy,"SUN, RCB",22,295,19.67,11,31.82,Bowler
D R Sams,"DDV, RCB, MIN, LSG",16,44,4.89,14,37.36,Bowler
S V Samson,"RRO, DDV",152,3888,29.23,0,,Batsman
M N Samuels,"PWI, DDV",15,161,12.38,9,31.56,Bowler
Sandeep Sharma,"KXI, SUN, RRO",116,54,9.0,124,27.4,Bowler
S Sandeep Warrier,KKR,5,0,,2,67.0,Batsman
G S Sandhu,DDV,3,0,,1,82.0,Batsman
K C Sangakkara,"KXI, DCH, SUN",71,1687,25.95,0,,Batsman
P J Sangwan,"DDV, KKR, GUJ, MIN, GTI",42,26,3.25,38,32.63,Bowler
R Sanjay Yadav,MIN,1,0,0.0,0,,Bowler
M J Santner,CSK,15,56,18.67,13,27.54,Bowler
K Santokie,MIN,2,0,,3,30.0,Batsman
X T  Sargunam,SUN,1,10,10.0,0,,Bowler
S S  Sarkar,KKR,2,0,,1,34.0,Batsman
P M  Sarvesh Kumar,DCH,2,1,,1,42.0,Batsman
R R Sarwan,KXI,4,73,18.25,0,,Batsman
R  Sathish,"MIN, KXI, KKR",34,270,15.88,3,77.33,Batsman
J S Saxena,KXI,1,0,,0,,Batsman
J P R Scantlebury-Searles,KKR,4,8,8.0,2,44.5,Bowler
V Sehwag,"DDV, KXI",104,2728,27.56,6,39.17,Batsman
T L Seifert,"KKR, DDV",3,26,8.67,0,,Bowler
K R Sen,RRO,9,0,,8,33.13,Batsman
S M S M Senanayake,KKR,8,10,10.0,9,23.22,Bowler
O A Shah,"KKR, KTK, RRO",23,506,33.73,0,,Batsman
P R  Shah,"MIN, RRO",16,92,11.5,0,,Bowler
Shahbaz Ahmed,RCB,39,321,16.89,14,40.5,Bowler
Shahid Afridi,DCH,10,81,10.13,9,25.0,Bowler
Shahrukh Khan,KXI,33,426,20.29,0,,Batsman
R A A Shaikh,MIN,1,0,,0,,Batsman
S S  Shaikh,KKR,2,6,6.0,0,,Bowler
Shakib Al Hasan,"KKR, SUN",71,793,19.83,63,29.19,Bowler
T Shamsi,"RCB, RRO",5,2,,3,60.33,Batsman
D Shanaka,GTI,3,26,13.0,0,,Bowler
V Shankar,"CSK, SUN, DDV, GTI",65,1032,26.46,9,38.22,Batsman
H Sharma,RCB,1,0,,0,,Batsman
I Sharma,"KKR, DCH, SUN, RPS, KXI, DDV",101,56,9.33,82,35.5,Bowler
J M Sharma,KXI,26,543,25.86,0,,Batsman
K S Sharma,LSG,3,16,5.33,0,,Bowler
K V Sharma,"RCB, SUN, MIN, CSK",75,320,13.91,69,26.57,Bowler
M M Sharma,"CSK, KXI, DDV, GTI",100,122,8.13,119,23.79,Bowler
R Sharma,"DCH, PWI, DDV",44,66,4.71,40,27.15,Bowler
R G Sharma,"DCH, MIN",243,6211,29.58,15,32.53,All Rounder
S Sharma,KKR,11,0,,10,32.1,Batsman
V Sharma,SUN,3,69,69.0,0,,Batsman
P P Shaw,DDV,71,1694,23.86,0,,Batsman
R Shepherd,"SUN, LSG",4,58,19.33,3,32.67,Batsman
Shivam Mavi,"KKR, GTI",32,51,5.67,30,31.4,Bowler
Shivam Sharma,KXI,5,5,5.0,4,41.25,Bowler
Shoaib Ahmed,DCH,8,1,0.5,5,30.4,Bowler
Shoaib Akhtar,KKR,3,2,2.0,5,10.8,Bowler
Shoaib Malik,DDV,7,52,13.0,2,42.5,Bowler
H R Shokeen,MIN,13,66,22.0,5,62.8,Batsman
D R Shorey,CSK,2,13,6.5,0,,Bowler
D J M Short,RRO,7,115,16.43,1,19.0,Batsman
M W Short,KXI,6,117,19.5,0,,Batsman
Shubman Gill,"KKR, GTI",91,2790,37.7,0,,Batsman
L R Shukla,"KKR, DDV",47,405,15.0,15,31.67,Bowler
R  Shukla,"MIN, RRO, DDV",7,19,19.0,5,41.6,Batsman
Sikandar Raza,KXI,7,139,27.8,3,39.67,Batsman
L P C Silva,DCH,3,40,20.0,0,,Batsman
L M P Simmons,MIN,29,1079,39.96,1,34.0,Batsman
A  Singh,RRO,23,2,0.5,28,22.14,Bowler
N B Singh,GUJ,2,0,,1,15.0,Batsman
R Singh,MIN,5,45,22.5,6,9.0,Batsman
R K Singh,KKR,31,725,36.25,0,,Batsman
R P Singh,"DCH, KTK, MIN, RCB, RPS",82,52,3.47,90,25.98,Bowler
S Singh,SUN,10,69,17.25,0,,Batsman
S Singh,CSK,6,7,7.0,4,34.5,Bowler
S Singh,SUN,2,11,11.0,0,,Bowler
V R Singh,KXI,19,4,2.0,12,45.17,Bowler
D R Smith,"MIN, DCH, CSK, GUJ",91,2385,28.39,26,31.15,All Rounder
G C Smith,"RRO, PWI",29,739,28.42,0,,Batsman
O F Smith,"KXI, GTI",6,51,17.0,6,29.67,Batsman
S P D Smith,"PWI, RRO, RPS, DDV",103,2485,34.51,0,,Batsman
I S Sodhi,RRO,8,7,3.5,9,22.44,Bowler
R S Sodhi,KXI,3,4,,0,,Batsman
Sohail Tanvir,RRO,11,36,12.0,22,12.09,Bowler
S Sohal,"KXI, DCH",22,368,18.4,0,,Batsman
P Solanki,CSK,2,0,,2,19.0,Batsman
T G Southee,"CSK, RRO, MIN, RCB, KKR",54,120,9.23,47,37.06,Bowler
B B Sran,"RRO, SUN, KXI, MIN",24,10,10.0,18,42.06,Bowler
S Sreesanth,"KXI, KTK, RRO",44,34,8.5,40,29.85,Bowler
S Sriram,"RCB, DDV",2,31,15.5,0,,Batsman
S J  Srivastava,KXI,14,5,5.0,14,31.5,Bowler
T  Srivastava,KXI,7,8,8.0,0,,Bowler
B Stanlake,"RCB, SUN",6,5,,7,28.57,Batsman
M A Starc,RCB,27,96,13.71,34,20.38,Bowler
D W Steyn,"RCB, DCH, SUN, GUJ",95,167,7.59,97,25.86,Bowler
M P Stoinis,"KXI, RCB, DDV, LSG",82,1478,27.37,39,29.44,All Rounder
B A Stokes,"RPS, RRO, CSK",45,935,24.61,28,35.43,Bowler
T Stubbs,MIN,4,27,6.75,1,14.0,Bowler
S B Styris,"DCH, CSK",12,131,18.71,8,34.5,Batsman
J Suchith,"MIN, DDV, SUN",22,70,17.5,19,31.68,Bowler
T P C Sudhindra,DCH,3,0,,1,136.0,Batsman
T L  Suman,"DCH, MIN, PWI",43,676,21.13,6,37.17,Batsman
B A  Sumanth,DCH,5,35,35.0,0,,Batsman
Sunny Gupta,DDV,1,0,0.0,0,,Bowler
Sunny Singh,KXI,6,43,10.75,0,,Bowler
P S  Suyal,MIN,5,0,,2,75.5,Batsman
Swapnil Singh,"KXI, LSG",7,14,4.67,1,108.0,Bowler
J  Syed Mohammad,RCB,11,29,14.5,8,35.38,Bowler
A Symonds,"DCH, MIN",39,974,36.07,20,33.7,All Rounder
T Taibu,KKR,3,31,10.33,0,,Bowler
A Taide,KXI,7,186,26.57,0,,Batsman
S W Tait,RRO,21,23,7.67,23,27.83,Bowler
Y V  Takawale,"MIN, RCB",16,192,24.0,0,,Batsman
P V Tambe,"RRO, GUJ",33,18,9.0,28,30.46,Bowler
A P Tare,"MIN, SUN, DDV",35,339,14.13,0,,Bowler
J E Taylor,PWI,5,3,3.0,6,26.17,Bowler
L R P L Taylor,"RCB, RRO, DDV, PWI",55,1017,25.43,0,,Batsman
R N ten Doeschate,KKR,29,326,23.29,2,47.0,Batsman
A S Tendulkar,MIN,4,13,13.0,3,30.67,Bowler
S R Tendulkar,MIN,78,2334,34.84,0,,Batsman
R Tewatia,"RRO, KXI, DDV, GTI",81,825,25.0,32,34.72,All Rounder
S N Thakur,"KXI, RPS, CSK, DDV, KKR",86,286,11.92,89,28.76,Bowler
Y Thakur,LSG,9,0,,13,22.23,Batsman
M M Theekshana,CSK,22,7,7.0,23,28.39,Bowler
J Theron,"KXI, DCH, RRO",10,10,5.0,9,32.56,Bowler
A C Thomas,PWI,15,20,10.0,14,29.0,Bowler
O R Thomas,RRO,4,0,,5,15.8,Batsman
D  Thornely,MIN,6,39,19.5,3,13.33,Batsman
T Thushara,CSK,6,12,6.0,8,20.13,Bowler
Tilak Varma,MIN,25,740,38.95,0,,Batsman
M K Tiwary,"DDV, KKR, RPS, KXI",98,1695,28.73,1,83.0,Batsman
S S Tiwary,"MIN, RCB, DDV, RPS",93,1494,28.73,0,,Batsman
A Tomar,KKR,1,4,4.0,0,,Bowler
R J W Topley,RCB,1,0,,1,14.0,Batsman
R A Tripathi,"RPS, RRO, KKR, SUN",89,2071,27.25,0,,Batsman
S K  Trivedi,RRO,76,42,6.0,65,29.29,Bowler
A J Turner,RRO,4,3,1.0,0,,Bowler
S Tyagi,CSK,14,3,3.0,6,49.17,Bowler
A J Tye,"GUJ, KXI, RRO, LSG",30,91,10.11,42,23.31,Bowler
I Udana,RCB,10,15,5.0,8,35.25,Bowler
Umar Gul,KKR,6,39,13.0,12,15.33,Bowler
Umran Malik,SUN,25,23,11.5,29,26.1,Bowler
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG",94,173,13.31,91,31.56,Bowler
A  Uniyal,RRO,2,4,4.0,2,33.0,Bowler
K  Upadhyay,PWI,3,12,,0,,Batsman
R V Uthappa,"MIN, RCB, PWI, KKR, RRO, CSK",205,4952,27.51,0,,Batsman
W P U J C Vaas,DCH,13,81,10.13,18,19.72,Bowler
P C  Valthaty,"RRO, KXI",23,505,22.95,7,29.29,Batsman
H E van der Dussen,RRO,3,22,11.0,0,,Bowler
R E van der Merwe,"RCB, DDV",21,159,14.45,21,23.71,Bowler
J J van der Wath,RCB,3,18,9.0,3,43.0,Bowler
M N van Wyk,KKR,5,167,55.67,0,,Batsman
C V Varun,"KXI, KKR",56,25,6.25,62,25.81,Bowler
Y Venugopal Rao,"DCH, DDV, SUN",65,985,22.39,6,56.17,Batsman
D L Vettori,"DDV, RCB",34,121,15.13,28,31.36,Bowler
S  Vidyut,CSK,9,145,18.13,1,22.0,Batsman
G H Vihari,"SUN, DDV",24,284,14.2,1,47.0,Bowler
M Vijay,"CSK, DDV, KXI",106,2619,25.93,0,,Batsman
D P  Vijaykumar,DCH,9,1,,4,49.75,Batsman
Vijaykumar Vyshak,RCB,7,13,13.0,9,28.11,Bowler
G C Viljoen,KXI,6,3,1.5,7,31.71,Bowler
R Vinay Kumar,"RCB, KTK, KKR, MIN",105,310,11.07,105,28.25,Bowler
Virat Singh,SUN,3,15,7.5,0,,Bowler
Vishnu Vinod,"RCB, MIN",6,56,9.33,0,,Bowler
A C Voges,RRO,9,181,45.25,0,,Batsman
M Vohra,"KXI, RCB, RRO, LSG",56,1083,22.1,0,,Batsman
M S Wade,"DDV, GTI",13,179,13.77,0,,Bowler
N Wadhera,MIN,14,241,26.78,0,,Batsman
S B  Wagh,"RRO, PWI",8,2,1.0,5,27.4,Bowler
S K Warne,RRO,55,198,9.9,57,25.39,Bowler
D A Warner,"DDV, SUN",176,6397,41.54,0,,Batsman
Washington Sundar,"RPS, RCB, SUN",58,378,14.54,36,34.78,Bowler
S R Watson,"RRO, RCB, CSK",145,3874,30.99,92,29.15,All Rounder
C L White,"RCB, DCH, SUN",47,954,26.5,1,86.0,Batsman
D Wiese,"RCB, KKR",18,148,29.6,16,27.5,All Rounder
D J Willey,"CSK, RCB",11,53,26.5,6,45.33,Batsman
K S Williamson,"SUN, GTI",77,2101,36.22,0,,Batsman
C R Woakes,"KKR, RCB, DDV",21,78,13.0,30,21.93,Bowler
M A Wood,"CSK, LSG",5,12,6.0,11,16.27,Bowler
L J Wright,PWI,7,106,21.2,2,62.0,Batsman
A S  Yadav,DCH,8,49,9.8,0,,Bowler
J Yadav,"DDV, MIN, GTI",20,40,10.0,8,55.63,Bowler
K Yadav,RRO,3,0,,2,42.0,Batsman
S A Yadav,"MIN, KKR",139,3249,31.85,0,,Batsman
U T Yadav,"DDV, KKR, RCB",141,196,9.8,136,30.04,Bowler
D H  Yagnik,RRO,25,170,17.0,0,,Batsman
Yashpal Singh,KKR,8,47,11.75,0,,Bowler
V S  Yeligati,MIN,2,2,2.0,0,,Bowler
Younis Khan,RRO,1,3,3.0,0,,Bowler
Yudhvir Singh,LSG,3,1,0.5,3,23.33,Bowler
Yuvraj Singh,"KXI, PWI, RCB, DDV, SUN, MIN",132,2750,24.77,36,29.92,Bowler
A Zampa,"RPS, RCB, RRO",20,15,3.0,29,19.24,Bowler
V H  Zol,RCB,3,29,14.5,0,,Bowler
D N T Zoysa,DCH,3,11,11.0,2,49.5,Bowler
